Transaction_ID,Items,Items_List
T001,"Bread, Milk, Eggs","['Bread', 'Milk', 'Eggs']"
T002,"Rice, Coffee, Sugar","['Rice', 'Coffee', 'Sugar']"
T003,"Milk, Bread, Butter","['Milk', 'Bread', 'Butter']"
T004,"Eggs, Bread, Juice","['Eggs', 'Bread', 'Juice']"
T005,"Coffee, Sugar, Creamer","['Coffee', 'Sugar', 'Creamer']"
T006,"Milk, Bread, Eggs, Butter","['Milk', 'Bread', 'Eggs', 'Butter']"
T007,"Rice, Cooking Oil, Soy Sauce","['Rice', 'Cooking Oil', 'Soy Sauce']"
T008,"Bread, Milk, Cheese","['Bread', 'Milk', 'Cheese']"
T009,"Eggs, Bread, Milk, Juice","['Eggs', 'Bread', 'Milk', 'Juice']"
T010,"Coffee, Sugar, Bread","['Coffee', 'Sugar', 'Bread']"
T011,"Milk, Eggs, Butter, Cheese","['Milk', 'Eggs', 'Butter', 'Cheese']"
T012,"Rice, Canned Goods, Cooking Oil","['Rice', 'Canned Goods', 'Cooking Oil']"
T013,"Bread, Milk, Eggs, Coffee","['Bread', 'Milk', 'Eggs', 'Coffee']"
T014,"Sugar, Coffee, Creamer, Bread","['Sugar', 'Coffee', 'Creamer', 'Bread']"
T015,"Milk, Butter, Cheese, Eggs","['Milk', 'Butter', 'Cheese', 'Eggs']"
T016,"Bread, Eggs, Juice, Milk","['Bread', 'Eggs', 'Juice', 'Milk']"
T017,"Rice, Soy Sauce, Vinegar","['Rice', 'Soy Sauce', 'Vinegar']"
T018,"Coffee, Sugar, Milk, Bread","['Coffee', 'Sugar', 'Milk', 'Bread']"
T019,"Eggs, Butter, Milk, Bread","['Eggs', 'Butter', 'Milk', 'Bread']"
T020,"Bread, Milk, Eggs, Cheese","['Bread', 'Milk', 'Eggs', 'Cheese']"
T021,"Rice, Cooking Oil, Canned Goods, Soy Sauce","['Rice', 'Cooking Oil', 'Canned Goods', 'Soy Sauce']"
T022,"Milk, Bread, Coffee, Sugar","['Milk', 'Bread', 'Coffee', 'Sugar']"
T023,"Eggs, Bread, Butter, Juice","['Eggs', 'Bread', 'Butter', 'Juice']"
T024,"Milk, Cheese, Butter","['Milk', 'Cheese', 'Butter']"
T025,"Coffee, Creamer, Sugar, Bread","['Coffee', 'Creamer', 'Sugar', 'Bread']"
T026,"Bread, Milk, Eggs, Sugar","['Bread', 'Milk', 'Eggs', 'Sugar']"
T027,"Rice, Vinegar, Soy Sauce, Cooking Oil","['Rice', 'Vinegar', 'Soy Sauce', 'Cooking Oil']"
T028,"Milk, Bread, Butter, Coffee","['Milk', 'Bread', 'Butter', 'Coffee']"
T029,"Eggs, Cheese, Milk, Bread","['Eggs', 'Cheese', 'Milk', 'Bread']"
T030,"Coffee, Sugar, Creamer","['Coffee', 'Sugar', 'Creamer']"
T031,"Bread, Milk, Juice, Eggs","['Bread', 'Milk', 'Juice', 'Eggs']"
T032,"Rice, Canned Goods, Cooking Oil","['Rice', 'Canned Goods', 'Cooking Oil']"
T033,"Milk, Bread, Eggs, Butter, Cheese","['Milk', 'Bread', 'Eggs', 'Butter', 'Cheese']"
T034,"Coffee, Sugar, Bread, Milk","['Coffee', 'Sugar', 'Bread', 'Milk']"
T035,"Eggs, Bread, Butter, Milk","['Eggs', 'Bread', 'Butter', 'Milk']"
T036,"Bread, Milk, Cheese, Juice","['Bread', 'Milk', 'Cheese', 'Juice']"
T037,"Rice, Soy Sauce, Vinegar, Cooking Oil","['Rice', 'Soy Sauce', 'Vinegar', 'Cooking Oil']"
T038,"Milk, Eggs, Bread, Coffee","['Milk', 'Eggs', 'Bread', 'Coffee']"
